Unnamed: 0,player,team,AGE,RANK,salary,college,height,position,weight,shoots,race,international
2206,Cory Joseph,SAC,28,99,12600000,University of Texas at Austin,6.3,Point Guard and Shooting Guard,193,Right,white,yes
1540,Jerami Grant,DEN,26,55,19047619,Syracuse University,6.9,Small Forward and Power Forward,220,Right,black,no
2707,Patrick McCaw,TOR,24,238,4000000,"University of Nevada, Las Vegas",6.7,Shooting Guard,185,Right,black,no
492,Malcolm Brogdon,IND,27,51,20700000,University of Virginia,6.5,Shooting Guard and Point Guard,229,Right,black,no
1997,Josh Jackson,MEM,23,215,4767000,University of Kansas,6.8,Small Forward and Shooting Guard,200,Right,black,no
3916,Tony Snell,DET,28,102,12178571,University of New Mexico,6.7,Shooting Guard and Small Forward,213,Right,black,no
127,Trevor Ariza,POR,35,96,12800000,"University of California, Los Angeles",6.8,Small Forward and Shooting Guard,215,Right,black,no
540,Sterling Brown,MIL,25,390,1678854,Southern Methodist University,6.6,Shooting Guard,232,Right,black,no
3252,Cameron Payne,PHX,25,357,1977011,Murray State University,6.3,Point Guard,190,Left,black,no
1127,Kris Dunn,CHI,26,217,4767000,Providence College,6.4,Point Guard,205,Right,black,no
3762,Landry Shamet,LAC,23,341,2090040,Wichita State University,6.5,Shooting Guard,188,Right,white,no
2533,Robin Lopez,MIL,32,163,7300000,Stanford University,7,Center,275,Right,hispanic,no
24,Bam Adebayo,MIA,22,200,5115492,University of Kentucky,6.1,Center,255,Right,black,no
4227,Myles Turner,IND,24,61,18000000,University of Texas at Austin,6.11,Center,250,Right,black,no
1040,Gorgui Dieng,MEM,30,70,17587688,University of Louisville,6.11,Center and Power Forward,252,Right,black,yes
4605,Justise Winslow,MEM,24,95,13000000,Duke University,6.7,Power Forward and Small Forward,225,Left,black,no
293,DeAndre' Bembry,ATL,25,380,1737145,Saint Joseph's University,6.6,Shooting Guard and Small Forward,210,Right,black,no
3942,Omari Spellman,MIN,22,356,1988280,Villanova University,6.9,Power Forward,245,Right,black,no
1954,Chandler Hutchison,CHI,24,311,2443440,Boise State University,6.7,Small Forward,197,Right,black,no
2833,Khris Middleton,MIL,28,16,33051724,Texas A&M University,6.8,Shooting Guard and Small Forward,222,Right,black,no
1866,Justin Holiday,IND,31,187,5720400,University of Washington,6.6,Shooting Guard,181,Right,black,no
1720,Joe Harris,BKN,28,72,16071429,University of Virginia,6.6,Shooting Guard,218,Right,white,no
2987,Jamal Murray,DEN,23,29,29250000,University of Kentucky,6.4,Shooting Guard and Point Guard,207,Right,black,yes
4268,Fred VanVleet,TOR,26,49,21250000,Wichita State University,6,Point Guard,195,Right,black,no
3234,Patrick Patterson,LAC,31,277,3814768,University of Kentucky,6.9,Power Forward,230,Right,black,no
2713,CJ McCollum,POR,28,27,29354152,Lehigh University,6.3,Shooting Guard,190,Right,black,no
1969,Brandon Ingram,NOP,22,41,27285000,Duke University,6.9,Small Forward,190,Right,black,no
1466,Taj Gibson,NYK,35,453,3283684,University of Southern California,6.9,Power Forward,232,Right,black,no
43,LaMarcus Aldridge,SAS,34,59,19078340,University of Texas at Austin,6.11,Power Forward and Center,260,Right,black,no
800,Mike Conley,UTA,32,10,34504132,Ohio State University,6.1,Point Guard,175,Left,black,no
555,Thomas Bryant,WAS,22,143,8333333,Indiana University,6.11,Center,248,Right,black,no
2870,Paul Millsap,DEN,35,122,10000000,Louisiana Tech University,6.8,Power Forward,246,Right,black,no
3166,Cedi Osman,CLE,25,140,8750000,,6.8,Small Forward,215,Right,white,yes
747,Jordan Clarkson,UTA,28,108,11500000,"University of Tulsa, University of Missouri",6.5,Shooting Guard and Point Guard,194,Right,black,no
2881,Donovan Mitchell,UTA,23,199,5195501,University of Louisville,6.3,Shooting Guard,215,Right,black,no
2940,Monte Morris,DEN,25,391,1663861,Iowa State University,6.3,Point Guard,175,Right,black,no
3591,Derrick Rose,DET,31,157,7682927,University of Memphis,6.3,Point Guard,200,Right,black,no
124,Ryan Arcidiacono,CHI,26,281,3000000,Villanova University,6.3,Point Guard,200,Right,white,no
3491,Josh Richardson,PHI,26,114,10800000,University of Tennessee,6.6,Shooting Guard and Small Forward,200,Right,black,no
3075,Nerlens Noel,OKC,26,208,5000000,University of Kentucky,6.11,Power Forward and Center,220,Right,black,no
4119,Khyri Thomas,DET,24,475,744684,Creighton University,6.3,Shooting Guard,210,Right,black,no
57,Jarrett Allen,BKN,22,241,3909902,University of Texas at Austin,6.11,Center,237,Right,black,no
1841,Solomon Hill,MIA,29,335,2174318,University of Arizona,6.7,Small Forward,225,Right,black,no
2916,E'Twaun Moore,NOP,31,316,2331593,Purdue University,6.4,Point Guard and Shooting Guard,191,Right,black,no
950,Ed Davis,UTA,31,206,5005350,University of North Carolina,6.1,Center and Power Forward,225,Left,black,no
4365,T.J. Warren,IND,26,106,11750000,North Carolina State University,6.8,Small Forward,215,Right,black,no
2468,Meyers Leonard,MIA,28,129,9400000,University of Illinois at Urbana-Champaign,7.1,Power Forward and Center,255,Right,white,no
1726,Tobias Harris,PHI,27,14,33517241,University of Tennessee,6.9,Power Forward and Small Forward,235,Right,black,no
2462,Alex Len,SAC,27,323,4032648,University of Maryland,7.1,Center,250,Right,white,yes
